"time","scheduled_arrivals","actual_arrivals","scheduled_departures","actual_departures","freq_config","tmpf","dwpf","relh","drct","sknt","alti","vsby","ceiling","wind_gust","ifr","lifr","ts","ra","headwind_10","crosswind_10","horario_local","dia_do_mes","mes"
2022-06-30 21:00:00,0,6,5,5,"10R|10L",57.2,55.4,93.69,0,0,30.12,3.11,99999,0,0,0,0,0,0,0,21,30,6
2022-06-30 21:15:00,0,7,9,7,"10R|10L",56.3,54.95,95.2675,0,0,30.1275,3.0325,99999,0,0,0,0,0,0,0,21.25,30,6
2022-06-30 21:30:00,0,5,6,8,"10R|10L",55.4,54.5,96.845,0,0,30.135,2.955,99999,0,0,0,0,0,0,0,21.5,30,6
2022-06-30 21:45:00,0,3,4,7,"10R|10L",54.5,54.05,98.4225,0,0,30.1425,2.8775,99999,0,0,0,0,0,0,0,21.75,30,6
2022-06-30 22:00:00,0,4,8,6,"10R|10L",53.6,53.6,100,0,0,30.15,2.8,99999,0,1,0,0,0,0,0,22,30,6
2022-06-30 22:15:00,0,3,8,5,"10R|10L",53.6,53.6,100,25,0.75,30.15,2.8,99999,0,1,0,0,0,-0.244176115842868,0.709138931699488,22.25,30,6
2022-06-30 22:30:00,1,3,7,8,"10R|10L",53.6,53.6,100,50,1.5,30.15,2.8,99999,0,1,0,0,0,-1.0419875556885,1.07900970050798,22.5,30,6
2022-06-30 22:45:00,1,6,7,6,"10R|10L",53.6,53.6,100,75,2.25,30.15,2.8,99999,0,1,0,0,0,-2.1005559596187,0.806327886476926,22.75,30,6
2022-06-30 23:00:00,2,3,5,8,"10R|10L",53.6,53.6,100,100,3,30.15,2.8,99999,0,1,0,0,0,-2.99269215077947,-0.209269421232376,23,30,6
2022-06-30 23:15:00,1,0,8,7,"10R|10L",53.6,53.6,100,90,2.75,30.15,2.8,99999,0,1,0,0,0,-2.73493521226275,0.287453273986047,23.25,30,6
2022-06-30 23:30:00,1,0,5,8,"10R|10L",53.6,53.6,100,80,2.5,30.15,2.8,99999,0,1,0,0,0,-2.4031542398458,0.689093389542498,23.5,30,6
2022-06-30 23:45:00,0,4,6,5,"10R|10L",53.6,53.6,100,70,2.25,30.15,2.8,99999,0,1,0,0,0,-2.02228660417313,0.986335080275424,23.75,30,6
2022-07-01 00:00:00,1,2,1,6,"10R|10L",53.6,53.6,100,60,2,30.15,2.8,99999,0,1,0,0,0,-1.61803398874989,1.17557050458495,0,1,7
2022-07-01 00:15:00,1,2,0,1,"10R|10L",53.15,53.15,100,45,1.5,30.15,2.8775,99999,0,1,0,0,0,-0.943980586574756,1.16571894218546,0.25,1,7
2022-07-01 00:30:00,0,2,0,1,"10R|10L",52.7,52.7,100,30,1,30.15,2.955,99999,0,1,0,0,0,-0.4067366430758,0.913545457642601,0.5,1,7
2022-07-01 00:45:00,4,3,1,1,"10R|10L",52.25,52.25,100,15,0.5,30.15,3.0325,99999,0,1,0,0,0,-0.0782172325201155,0.493844170297569,0.75,1,7
2022-07-01 01:00:00,1,2,0,0,"10R|10L",51.8,51.8,100,0,0,30.15,3.11,99999,0,0,0,0,0,0,0,1,1,7
2022-07-01 01:15:00,3,3,2,1,"10R|10L",51.35,51.35,100,0,0,30.1425,3.11,99999,0,0,0,0,0,0,0,1.25,1,7
2022-07-01 01:30:00,3,1,2,2,"10R|10L",50.9,50.9,100,0,0,30.135,3.11,99999,0,0,0,0,0,0,0,1.5,1,7
2022-07-01 01:45:00,1,4,1,1,"10R|10L",50.45,50.45,100,0,0,30.1275,3.11,99999,0,0,0,0,0,0,0,1.75,1,7
2022-07-01 02:00:00,3,0,1,0,"10R|10L",50,50,100,0,0,30.12,3.11,99999,0,0,0,0,0,0,0,2,1,7
